#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","4","762","2203660763136","42180608","55840768","43648","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","28.578125","10.0.17134.1 (WinBuild.160101.0800)","10.0.17134.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"18048","Microsoft.Win32.SafeHandles.SafeProcessHandle","762","4280",".","265272","Compare-Object ?- Microsoft Edge","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","43648","43648","55840768","55840768","518072","518072","88055808","88055808","65069056","65069056","359796736","2203678019584","True","Normal","55840768","55840768","00:00:17.1875000","ApplicationFrameHost","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 9:47:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:28.5781250","00:00:11.3906250","342540288","2203660763136","False",,,,"42180608","42180608",,
"AppVShNotify","0","157","4393185280","6512640","2035712","8392","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","Microsoft Corporation","0.046875","5.1.141.0","5.1.141.0","AppVShNotify","Microsoft Application Virtualization (App-V)","Process","8",,"False",,"14980","Microsoft.Win32.SafeHandles.SafeProcessHandle","157","744",".","0","","System.Diagnostics.ProcessModule (AppVShNotify.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8392","8392","2035712","2035712","128688","128688","2306048","2306048","7802880","7802880","106606592","4401573888","True","Normal","2035712","2035712","00:00:00.0312500","AppVShNotify","255","True","0","System.Diagnostics.ProcessStartInfo","3/15/2019 8:13:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","98217984","4393185280","False",,,,"6512640","6512640",,
"AsusTPLoader","4","181","4434223104","1445888","2560000","11136","C:\Program Files (x86)\ASUS\ASUS Smart Gesture\AsTPCenter\x64\AsusTPLoader.exe","AsusTek","41.0625","1.0.51.0","1.0.51.0","ASUS Smart Gesture Loader","ASUS Smart Gesture","Process","6",,"False",,"5476","Microsoft.Win32.SafeHandles.SafeProcessHandle","181","11036",".","0","","System.Diagnostics.ProcessModule (AsusTPLoader.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11136","11136","2560000","2560000","201008","201008","2576384","2576384","8982528","8982528","141221888","4436189184","True","BelowNormal","2560000","2560000","00:00:37.8750000","AsusTPLoader","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 9:47:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:41.0625000","00:00:03.1875000","139255808","4434223104","False",,,,"1445888","1445888",,
"audiodg","0","192","2203403726848","11902976","7712768","11608","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","49.359375","10.0.17134.1 (WinBuild.160101.0800)","10.0.17134.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"12296","Microsoft.Win32.SafeHandles.SafeProcessHandle","192","4264",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","10354688","9146368","System.Diagnostics.ProcessModuleCollection","11608","11608","7712768","7712768","94472","94472","7946240","7946240","13479936","13479936","89481216","2203407704064","True","Normal","7712768","7712768","00:00:38.5468750","audiodg","255","True","0","System.Diagnostics.ProcessStartInfo","3/16/2019 12:50:10 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:49.3593750","00:00:10.8125000","85504000","2203403726848","False",,,,"11902976","11902976",,
"browser_broker","4","559","2237889404928","28651520","8941568","25736","C:\WINDOWS\system32\browser_broker.exe","Microsoft Corporation","1.53125","11.00.17134.590 (WinBuild.160101.0800)","11.00.17134.590","Browser_Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"13916","Microsoft.Win32.SafeHandles.SafeProcessHandle","559","2552",".","0","","System.Diagnostics.ProcessModule (browser_broker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25736","25736","8941568","8941568","350264","350264","9633792","9633792","33148928","33148928","221470720","2237899431936","True","Normal","8941568","8941568","00:00:01.0781250","browser_broker","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 9:47:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5312500","00:00:00.4531250","211443712","2237889404928","False",,,,"28651520","28651520",,
"Calculator","4","539","4726280192","37789696","25276416","29112","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1812.10048.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0.5","10.1812.1901.04008","10.1812.190104008","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"3432","Microsoft.Win32.SafeHandles.SafeProcessHandle","539","1148",".","1116390","Calculator","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29112","29112","25276416","25276416","657120","657120","27025408","27025408","53719040","53719040","435507200","4730474496","True","Normal","25276416","25276416","00:00:00.2031250","Calculator","255","False","4","System.Diagnostics.ProcessStartInfo","3/16/2019 12:12:43 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.2968750","431312896","4726280192","False",,,,"37789696","37789696",,
"ChtIME","4","108","2203406974976","6197248","1388544","7728","C:\Windows\System32\InputMethod\CHT\ChtIME.exe","Microsoft Corporation","0.046875","10.0.17134.1 (WinBuild.160101.0800)","10.0.17134.1","Microsoft IME","Microsoft? Windows? Operating System","Process","8",,"False",,"11200","Microsoft.Win32.SafeHandles.SafeProcessHandle","108","9736",".","0","","System.Diagnostics.ProcessModule (ChtIME.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7728","7728","1388544","1388544","107576","107576","1531904","1531904","6950912","6950912","91373568","2203409596416","True","Normal","1388544","1388544","00:00:00.0468750","ChtIME","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 9:45:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","88752128","2203406974976","False",,,,"6197248","6197248",,
"Code","4","533","2205112119296","201216000","200482816","74768","C:\Users\peterthor\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","567.3125","1.32.3","1.32.3","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3536","Microsoft.Win32.SafeHandles.SafeProcessHandle","533","8468",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","74768","74768","200482816","200482816","661008","661008","218169344","218169344","219869184","219869184","1801433088","2205119655936","True","Normal","200482816","200482816","00:00:41.2031250","Code","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 3:59:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:09:27.3125000","00:08:46.1093750","1793896448","2205112119296","False",,,,"201216000","201216000",,
"Code","4","383","2204241313792","59424768","52981760","34360","C:\Users\peterthor\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","7.796875","1.32.3","1.32.3","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"8568","Microsoft.Win32.SafeHandles.SafeProcessHandle","383","9200",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34360","34360","52981760","52981760","464248","464248","65478656","65478656","82464768","82464768","929382400","2204247605248","True","Normal","52981760","52981760","00:00:01.5000000","Code","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 3:59:23 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:07.7968750","00:00:06.2968750","923090944","2204241313792","False",,,,"59424768","59424768",,
"Code","4","540","2205210087424","140914688","549609472","86600","C:\Users\peterthor\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","295.015625","1.32.3","1.32.3","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"8820","Microsoft.Win32.SafeHandles.SafeProcessHandle","540","9844",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","86600","86600","549609472","549609472","876672","876672","801828864","801828864","169574400","169574400","1926082560","2205244305408","True","Normal","549609472","549609472","00:00:52.3437500","Code","255","True","4","System.Diagnostics.ProcessStartInfo","3/16/2019 3:59:18 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:55.0156250","00:04:02.6718750","1891864576","2205210087424","False",,,,"140914688","140914688",,
